Candidate,Post,Date,Status,State,Division,Assembly,Parliament,Block,Booth,Location,Coordinates,Declaration,Remark,Created At,Updated At
Alok Chaturvedi (PAJJAN BHAIYA),MLA,03-09-2025,in progress,Madhya Pradesh,Indore Division,Gandhwani (ST),Dhar,Tirla,सलकनपुर,"Jabalpur, Madhya Pradesh, India","23.168877, 79.932144",a,sd,2025-09-03T11:47:12.533Z,2025-09-25T07:26:01.585Z
Amar Singh,MLA,30-08-2025,announced,Madhya Pradesh,Rewa Division,Raigaon,Satna,,,"Gandhwani, Madhya Pradesh, India","22.338074, 75.00184",,,2025-08-30T06:30:13.591Z,2025-09-04T10:29:48.790Z
"Ambrish Sharma guddu""""",MLA,30-08-2025,announced,Madhya Pradesh,Shahdol Division,Bandhavgarh,Shahdol,,,,,,,2025-08-30T06:29:54.675Z,2025-08-30T06:29:54.675Z
Abhijeet Shah (ANKIT BABA),MLA,30-08-2025,announced,Madhya Pradesh,Sagar Division,Panna,Khajuraho,,,BHOPAL,"23.258371, 77.40197",,,2025-08-30T06:29:32.988Z,2025-09-04T09:48:10.859Z
Alok Chaturvedi (PAJJAN BHAIYA),MLA,30-08-2025,announced,Madhya Pradesh,Chambal Division,Morena,Morena ,,,,,,,2025-08-30T06:29:12.951Z,2025-08-30T06:29:12.951Z
Amar Singh,MLA,30-08-2025,announced,Madhya Pradesh,Jabalpur Division..,Jabalpur Cantt.,Jabalpur ,,,"Pune, Maharashtra, India","18.515669, 73.856285",,,2025-08-30T06:28:55.086Z,2025-09-04T10:07:24.465Z
Aniruddha (MADHAV) MAROO,MLA,30-08-2025,announced,Madhya Pradesh,Indore Division,Bagali,Khandwa ,,,"Banabakoda, Sausar, Pandhurna, Madhya Pradesh, India","21.604088, 78.71051",,,2025-08-30T06:28:38.837Z,2025-09-04T10:01:05.024Z
Alok Chaturvedi (PAJJAN BHAIYA),MLA,31-07-2025,in progress,Madhya Pradesh,Indore Division,Gandhwani (ST),Dhar,Tirla,चायली,bhopal,,s,ds,2025-07-31T10:12:18.521Z,2025-09-03T11:49:25.129Z
Ajay Vishnoi,sd,18-07-2025,in progress,Madhya Pradesh,Indore Division,Gandhwani (ST),Dhar,Tanda,मगदी,ujjain,,sd,ds,2025-07-31T11:12:43.108Z,2025-08-29T07:11:38.480Z
Umang Singhar,MLA,11-07-2025,in progress,Madhya Pradesh,Indore Division,Gandhwani (ST),Dhar,Gandhwani,चुनप्या,indore,,s,sd,2025-07-03T10:30:26.487Z,2025-08-29T07:11:53.686Z
Umang Singhar,jb,01-07-2025,announced,Madhya Pradesh,Indore Division,Gandhwani (ST),Dhar,Tanda,गुढ़ा,,,adfhg,sHVB,2025-07-29T11:39:03.429Z,2025-08-29T07:12:07.456Z
Aidal Singh Kansana,MLA,27-07-2023,announced,Madhya Pradesh,Indore Division,Gandhwani (ST),Dhar,Tirla,मिनाखेडी,jabalpur,,I am here for water Problem,For trail,2025-06-20T09:25:50.662Z,2025-08-29T07:12:23.152Z
